Ngay,Ma_CP,Nganh,Gia_Mo_Cua,Gia_Dong_Cua,Gia_Cao_Nhat,Gia_Thap_Nhat,Khoi_Luong_Giao_Dich,Xu_Huong_Thi_Truong,Ty_Suat_Co_Tuc,He_So_P/E
2023-03-13,SAB,Hàng tiêu dùng,175200,173400.0,175900,172100,9.8,Giảm,6.6,16.9
2023-03-14,SAB,Hàng tiêu dùng,174900,176700.0,178200,174300,12.2,Tăng,6.6,17.2
2023-03-15,SAB,Hàng tiêu dùng,178500,178800.0,179300,177300,7.2,Đi ngang,6.5,17.2
2023-03-16,SAB,Hàng tiêu dùng,182900,184500.0,184800,182400,12.3,Tăng,6.5,17.7
2023-03-17,SAB,Hàng tiêu dùng,188000,186900.0,188900,186500,14.1,Giảm,6.5,17.7
2023-03-20,SAB,Hàng tiêu dùng,191600,191300.0,192000,190200,13.2,Đi ngang,6.5,18.1
2023-03-21,SAB,Hàng tiêu dùng,196600,195800.0,198100,195000,10.9,Đi ngang,6.5,18.5
2023-03-22,SAB,Hàng tiêu dùng,190600,192400.0,193600,189100,6.8,Tăng,6.4,18.1
2023-03-23,SAB,Hàng tiêu dùng,200500,200800.0,201200,199400,6.7,Đi ngang,6.4,18.5
2023-03-24,SAB,Hàng tiêu dùng,201600,203300.0,204400,201100,5.4,Tăng,6.3,18.4
2023-03-27,SAB,Hàng tiêu dùng,210900,210000.0,212000,208800,11.7,Đi ngang,6.3,18.6
2023-03-28,SAB,Hàng tiêu dùng,213100,213000.0,213600,212400,12.7,Đi ngang,6.2,18.7
2023-03-29,SAB,Hàng tiêu dùng,218100,218100.0,218600,217000,13.1,Đi ngang,6.2,19.0
2023-03-30,SAB,Hàng tiêu dùng,227000,225900.0,227300,225600,9.4,Giảm,6.2,19.6
2023-03-31,SAB,Hàng tiêu dùng,229100,229600.0,230800,228000,3.4,Đi ngang,6.1,19.6
2023-04-03,SAB,Hàng tiêu dùng,221900,223100.0,224600,221000,14.7,Tăng,6.1,19.2
2023-04-04,SAB,Hàng tiêu dùng,223000,224900.0,226000,221600,10.6,Tăng,6.1,19.4
2023-04-05,SAB,Hàng tiêu dùng,222700,224400.0,224900,221800,10.0,Tăng,6.1,19.7
2023-04-06,SAB,Hàng tiêu dùng,226800,225300.0,227900,224500,9.9,Giảm,6.1,19.9
2023-04-07,SAB,Hàng tiêu dùng,228800,229200.0,230500,227300,13.4,Đi ngang,6.1,20.4
2023-04-10,SAB,Hàng tiêu dùng,232400,232400.0,233300,231000,10.6,Đi ngang,6.0,20.9
2023-04-11,SAB,Hàng tiêu dùng,237500,237900.0,239000,236800,6.4,Đi ngang,6.0,21.4
2023-04-12,SAB,Hàng tiêu dùng,233500,234900.0,235200,232600,14.0,Tăng,6.0,21.4
2023-04-13,SAB,Hàng tiêu dùng,235200,237200.0,238100,234800,8.8,Tăng,6.0,22.0
2023-04-14,SAB,Hàng tiêu dùng,235000,234800.0,236200,233900,14.9,Đi ngang,6.0,22.0
2023-04-17,SAB,Hàng tiêu dùng,235200,236700.0,238200,234100,12.6,Tăng,6.0,22.2
2023-04-18,SAB,Hàng tiêu dùng,229200,230200.0,231600,228800,6.0,Tăng,6.0,21.6
2023-04-19,SAB,Hàng tiêu dùng,225100,224200.0,226100,223000,11.5,Đi ngang,5.9,21.1
2023-04-20,SAB,Hàng tiêu dùng,226100,225500.0,227000,224600,9.3,Đi ngang,5.9,21.6
2023-04-21,SAB,Hàng tiêu dùng,215100,215700.0,217000,214100,11.8,Đi ngang,5.9,21.0
2023-04-24,SAB,Hàng tiêu dùng,215800,216400.0,217500,214900,8.0,Đi ngang,5.9,21.5
2023-04-25,SAB,Hàng tiêu dùng,217600,218900.0,220300,217100,14.9,Tăng,5.9,21.9
2023-04-26,SAB,Hàng tiêu dùng,219800,218000.0,220700,217500,13.7,Giảm,5.9,22.2
2023-04-27,SAB,Hàng tiêu dùng,214500,212800.0,215500,211600,9.4,Giảm,6.0,21.9
2023-04-28,SAB,Hàng tiêu dùng,209100,209200.0,209600,208400,4.0,Đi ngang,6.0,21.8
2023-05-01,SAB,Hàng tiêu dùng,217200,215600.0,218300,214400,12.9,Giảm,6.0,22.1
2023-05-02,SAB,Hàng tiêu dùng,216000,214900.0,216600,214500,14.5,Giảm,6.0,21.9
2023-05-03,SAB,Hàng tiêu dùng,217400,216600.0,218000,215600,8.1,Giảm,6.1,21.7
2023-05-04,SAB,Hàng tiêu dùng,222700,221000.0,224100,220000,16.1,Giảm,6.1,22.1
2023-05-05,SAB,Hàng tiêu dùng,225500,224500.0,226900,223000,,Đi ngang,6.1,22.3
2023-05-08,SAB,Hàng tiêu dùng,227700,227300.0,228800,226500,14.8,Đi ngang,6.1,22.4
2023-05-09,SAB,Hàng tiêu dùng,234200,234300.0,234800,233100,11.9,Đi ngang,6.1,23.0
2023-05-10,SAB,Hàng tiêu dùng,229800,228000.0,231100,226800,15.1,Giảm,6.1,22.4
2023-05-11,SAB,Hàng tiêu dùng,233300,232100.0,233900,230600,8.1,Giảm,6.1,22.4
2023-05-12,SAB,Hàng tiêu dùng,241700,241000.0,243000,240600,9.8,Đi ngang,6.1,22.9
2023-05-15,SAB,Hàng tiêu dùng,246900,248000.0,248700,245900,14.5,Tăng,6.0,23.4
2023-05-16,SAB,Hàng tiêu dùng,252500,250600.0,252900,249400,12.1,Giảm,6.0,23.6
2023-05-17,SAB,Hàng tiêu dùng,248600,250300.0,250800,247400,16.6,Tăng,6.0,23.2
2023-05-18,SAB,Hàng tiêu dùng,253700,253100.0,254300,251800,13.8,Đi ngang,6.0,23.1
2023-05-19,SAB,Hàng tiêu dùng,256200,256600.0,257400,255900,10.1,Đi ngang,6.1,23.0
2023-05-22,SAB,Hàng tiêu dùng,261300,262200.0,263500,260300,6.7,Đi ngang,6.1,23.2
2023-05-23,SAB,Hàng tiêu dùng,261900,260800.0,262700,260500,5.4,Giảm,6.1,22.9
2023-05-24,SAB,Hàng tiêu dùng,260300,259200.0,261100,258200,5.7,Giảm,6.1,22.6
2023-05-25,SAB,Hàng tiêu dùng,253000,254100.0,255500,251900,15.3,Tăng,6.1,22.1
2023-05-26,SAB,Hàng tiêu dùng,255100,256200.0,257100,254800,3.3,Tăng,6.1,22.1
2023-05-29,SAB,Hàng tiêu dùng,255800,257400.0,258300,254400,10.8,Tăng,6.1,21.9
2023-05-30,SAB,Hàng tiêu dùng,265400,265400.0,266600,264400,15.5,Đi ngang,6.1,22.2
2023-05-31,SAB,Hàng tiêu dùng,272200,272000.0,273000,270700,4.2,Đi ngang,6.1,22.4
2023-06-01,SAB,Hàng tiêu dùng,274700,273400.0,275100,273100,9.7,Giảm,6.1,22.7
2023-06-02,SAB,Hàng tiêu dùng,269000,267700.0,269500,266400,16.8,Giảm,6.1,22.6
2023-06-05,SAB,Hàng tiêu dùng,261700,261200.0,263200,260700,6.3,Đi ngang,6.2,22.2
2023-06-06,SAB,Hàng tiêu dùng,264300,264800.0,266100,262900,4.6,Đi ngang,6.1,22.5
2023-06-07,SAB,Hàng tiêu dùng,267600,265600.0,268500,265200,10.8,Giảm,6.1,22.8
2023-06-08,SAB,Hàng tiêu dùng,266600,267200.0,267900,266200,10.0,Tăng,6.1,23.2
2023-06-09,SAB,Hàng tiêu dùng,264100,262700.0,264600,261400,9.8,Giảm,6.1,22.9
2023-06-12,SAB,Hàng tiêu dùng,265500,267300.0,268300,264100,11.9,Tăng,6.1,23.5
2023-06-13,SAB,Hàng tiêu dùng,264000,265700.0,266700,263600,11.6,Tăng,6.1,23.5
2023-06-14,SAB,Hàng tiêu dùng,255100,255300.0,256200,254400,19.3,Đi ngang,6.0,22.9
2023-06-15,SAB,Hàng tiêu dùng,253600,252600.0,254400,251200,6.2,Giảm,6.0,22.7
2023-06-16,SAB,Hàng tiêu dùng,253800,255500.0,255900,252600,8.3,Tăng,6.1,23.3
2023-06-19,SAB,Hàng tiêu dùng,246600,247300.0,248200,245700,10.8,Đi ngang,6.1,22.9
2023-06-20,SAB,Hàng tiêu dùng,244500,244800.0,245500,243400,6.5,Đi ngang,6.1,22.9
2023-06-21,SAB,Hàng tiêu dùng,242700,,244500,241900,4.8,Tăng,6.1,22.9
2023-06-22,SAB,Hàng tiêu dùng,238100,239100.0,239600,237000,9.9,Tăng,6.2,22.9
2023-06-23,SAB,Hàng tiêu dùng,235200,233600.0,236200,232400,12.0,Giảm,6.3,22.5
2023-06-26,SAB,Hàng tiêu dùng,236000,234400.0,236700,233100,14.8,Giảm,6.4,22.7
2023-06-27,SAB,Hàng tiêu dùng,229000,229800.0,230800,228400,14.5,Tăng,6.4,22.6
2023-06-28,SAB,Hàng tiêu dùng,222300,222900.0,224100,221000,17.1,Đi ngang,6.4,22.0
2023-06-29,SAB,Hàng tiêu dùng,229000,227800.0,229900,227100,20.4,Giảm,6.4,22.6
2023-06-30,SAB,Hàng tiêu dùng,231100,230000.0,231600,229500,8.7,Giảm,6.3,22.9
2023-07-03,SAB,Hàng tiêu dùng,225700,225600.0,227000,225100,12.4,Đi ngang,6.3,
2023-07-04,SAB,Hàng tiêu dùng,224600,223400.0,225800,222500,7.7,Giảm,6.4,21.8
2023-07-05,SAB,Hàng tiêu dùng,219600,221500.0,222300,218800,10.6,Tăng,6.4,21.6
2023-07-06,SAB,Hàng tiêu dùng,226300,227900.0,228300,225700,19.5,Tăng,6.3,22.2
2023-07-07,SAB,Hàng tiêu dùng,224000,225500.0,226500,222500,9.0,Tăng,6.4,21.5
2023-07-10,SAB,Hàng tiêu dùng,224700,226100.0,226700,223800,12.5,Tăng,6.4,21.4
2023-07-11,SAB,Hàng tiêu dùng,230500,232300.0,232900,229000,9.0,Tăng,6.4,21.8
2023-07-12,SAB,Hàng tiêu dùng,244300,243600.0,245000,242700,16.6,Giảm,6.4,22.4
2023-07-13,SAB,Hàng tiêu dùng,237400,239100.0,240000,236600,19.3,Tăng,6.4,21.8
2023-07-14,SAB,Hàng tiêu dùng,249300,250000.0,251200,248000,20.8,Đi ngang,6.4,22.4
2023-07-17,SAB,Hàng tiêu dùng,253600,254200.0,254500,252800,13.4,Tăng,6.3,22.5
2023-07-18,SAB,Hàng tiêu dùng,253000,252000.0,254500,251500,15.1,Giảm,6.3,22.0
2023-07-19,SAB,Hàng tiêu dùng,258700,259400.0,260400,258300,15.2,Tăng,6.3,22.5
2023-07-20,SAB,Hàng tiêu dùng,262000,263800.0,264400,261600,7.8,Tăng,6.3,22.5
2023-07-21,SAB,Hàng tiêu dùng,266200,267800.0,269000,264800,13.7,Tăng,6.4,22.8
2023-07-24,SAB,Hàng tiêu dùng,275000,273300.0,276100,271900,,Giảm,6.5,23.2
2023-07-25,SAB,Hàng tiêu dùng,272900,273000.0,273800,271700,8.3,Đi ngang,6.4,22.7
2023-07-26,SAB,Hàng tiêu dùng,279900,281300.0,282300,278600,9.4,Tăng,6.4,23.3
2023-07-27,SAB,Hàng tiêu dùng,291400,291600.0,291900,290000,19.9,Đi ngang,6.4,23.9
2023-07-28,SAB,Hàng tiêu dùng,295500,296900.0,297600,294700,17.9,Tăng,6.4,24.3
2023-07-31,SAB,Hàng tiêu dùng,296800,294800.0,297400,294300,19.7,Giảm,6.4,23.7
2023-08-01,SAB,Hàng tiêu dùng,291200,291900.0,292900,290300,14.8,Đi ngang,6.4,23.7
2023-08-02,SAB,Hàng tiêu dùng,286300,285100.0,287400,284500,14.4,Giảm,6.3,23.3
2023-08-03,SAB,Hàng tiêu dùng,293000,291300.0,293400,290900,16.3,Giảm,6.4,23.8
2023-08-04,SAB,Hàng tiêu dùng,285400,287000.0,288300,283900,4.0,Tăng,6.4,23.5
2023-08-07,SAB,Hàng tiêu dùng,284900,283800.0,286400,282400,13.1,Đi ngang,6.4,23.4
2023-08-08,SAB,Hàng tiêu dùng,275100,274900.0,276500,273600,16.2,Đi ngang,6.4,23.0
2023-08-09,SAB,Hàng tiêu dùng,271100,269100.0,271800,268400,8.8,Giảm,6.4,22.9
2023-08-10,SAB,Hàng tiêu dùng,273800,272500.0,274700,272000,8.4,Giảm,6.4,23.2
2023-08-11,SAB,Hàng tiêu dùng,278000,277500.0,278700,276800,16.8,Đi ngang,6.5,23.8
2023-08-14,SAB,Hàng tiêu dùng,269200,268900.0,270000,267600,16.5,Đi ngang,6.5,23.1
2023-08-15,SAB,Hàng tiêu dùng,265500,267300.0,268500,265000,9.3,Tăng,6.5,23.0
2023-08-16,SAB,Hàng tiêu dùng,259900,258700.0,261300,258200,7.3,Giảm,6.5,22.7
2023-08-17,SAB,Hàng tiêu dùng,258900,257000.0,259800,255500,13.4,Giảm,6.5,22.8
2023-08-18,SAB,Hàng tiêu dùng,259700,259000.0,261100,258400,7.6,Đi ngang,6.5,23.1
2023-08-21,SAB,Hàng tiêu dùng,253600,253300.0,254500,252900,6.0,Đi ngang,6.5,22.6
2023-08-22,SAB,Hàng tiêu dùng,246100,245700.0,247400,244700,16.2,Đi ngang,6.6,22.1
2023-08-23,SAB,Hàng tiêu dùng,252100,252200.0,252900,251000,5.5,Đi ngang,6.5,22.8
2023-08-24,SAB,Hàng tiêu dùng,255300,255400.0,256600,254100,10.9,Đi ngang,6.5,23.4
2023-08-25,SAB,Hàng tiêu dùng,248600,247200.0,249600,246000,4.1,Giảm,6.5,23.0
2023-08-28,SAB,Hàng tiêu dùng,242400,241800.0,243700,240500,12.4,Đi ngang,6.5,22.7
2023-08-29,SAB,Hàng tiêu dùng,233600,233300.0,234500,232600,9.4,Đi ngang,6.5,22.3
2023-08-30,SAB,Hàng tiêu dùng,239000,238300.0,239700,236800,11.3,Đi ngang,6.5,22.9
2023-08-31,SAB,Hàng tiêu dùng,233300,231700.0,234500,231000,14.9,Giảm,6.6,
2023-09-01,SAB,Hàng tiêu dùng,229000,230500.0,231400,227600,6.4,Tăng,6.6,22.1
2023-09-04,SAB,Hàng tiêu dùng,232100,231000.0,232600,229500,4.9,Giảm,6.5,22.0
2023-09-05,SAB,Hàng tiêu dùng,233200,234400.0,234700,232800,7.0,Tăng,6.4,21.9
2023-09-06,SAB,Hàng tiêu dùng,227900,229600.0,230200,227100,15.6,Tăng,6.4,21.3
2023-09-07,SAB,Hàng tiêu dùng,230900,232100.0,232500,230300,12.5,Tăng,6.4,21.4
2023-09-08,SAB,Hàng tiêu dùng,236400,,238100,235400,10.9,Tăng,6.4,21.8
2023-09-11,SAB,Hàng tiêu dùng,240100,242100.0,242800,239700,16.5,Tăng,6.4,21.9
2023-09-12,SAB,Hàng tiêu dùng,238500,238500.0,239600,238100,10.3,Đi ngang,6.4,21.3
2023-09-13,SAB,Hàng tiêu dùng,241700,240100.0,242200,239700,9.4,Giảm,6.4,
2023-09-14,SAB,Hàng tiêu dùng,238100,236600.0,238700,235700,5.0,Giảm,6.4,20.6
2023-09-15,SAB,Hàng tiêu dùng,241100,240700.0,241900,239800,4.6,Đi ngang,6.3,20.6
2023-09-18,SAB,Hàng tiêu dùng,239900,240600.0,241900,239100,5.0,Đi ngang,6.3,20.2
2023-09-19,SAB,Hàng tiêu dùng,245500,244000.0,245900,243100,11.8,Giảm,6.4,20.2
2023-09-20,SAB,Hàng tiêu dùng,251000,249100.0,252000,248700,16.0,Giảm,6.4,20.3
2023-09-21,SAB,Hàng tiêu dùng,256700,256800.0,257300,255200,7.4,Đi ngang,6.4,20.8
2023-09-22,SAB,Hàng tiêu dùng,256400,257000.0,258200,255800,7.9,Đi ngang,6.4,20.4
2023-09-25,SAB,Hàng tiêu dùng,256200,255500.0,257600,255100,13.0,Đi ngang,6.4,20.1
2023-09-26,SAB,Hàng tiêu dùng,266000,264600.0,266500,264200,19.7,Giảm,6.4,20.6
2023-09-27,SAB,Hàng tiêu dùng,266000,264600.0,267200,263500,15.1,Giảm,6.4,20.5
2023-09-28,SAB,Hàng tiêu dùng,273900,272300.0,274900,271700,6.5,Giảm,6.5,20.8
2023-09-29,SAB,Hàng tiêu dùng,276200,277200.0,277900,274700,10.0,Tăng,6.5,21.1
2023-10-02,SAB,Hàng tiêu dùng,268400,268300.0,269000,267800,5.5,Đi ngang,6.5,20.8
2023-10-03,SAB,Hàng tiêu dùng,255800,256700.0,258200,254700,5.1,Đi ngang,6.4,20.3
2023-10-04,SAB,Hàng tiêu dùng,250100,251700.0,252700,249500,14.2,Tăng,6.4,19.9
2023-10-05,SAB,Hàng tiêu dùng,256300,257900.0,259200,255800,15.6,Tăng,6.4,20.4
2023-10-06,SAB,Hàng tiêu dùng,257000,255600.0,257300,254300,6.3,Giảm,6.4,
2023-10-09,SAB,Hàng tiêu dùng,246500,247400.0,248600,245900,10.6,Tăng,6.5,20.0
2023-10-10,SAB,Hàng tiêu dùng,249700,250700.0,251800,249100,5.2,Tăng,6.5,20.4
2023-10-11,SAB,Hàng tiêu dùng,252000,253300.0,253800,250800,13.9,Tăng,6.5,20.9
2023-10-12,SAB,Hàng tiêu dùng,255900,256400.0,256700,254800,7.4,Đi ngang,6.5,21.2
2023-10-13,SAB,Hàng tiêu dùng,252300,251900.0,253400,251200,10.8,Đi ngang,6.5,21.2
2023-10-16,SAB,Hàng tiêu dùng,248600,247500.0,249200,246900,13.4,Giảm,6.5,21.1
2023-10-17,SAB,Hàng tiêu dùng,249300,247900.0,249900,246800,8.8,Giảm,6.4,21.5
2023-10-18,SAB,Hàng tiêu dùng,247000,248200.0,249500,245700,16.2,Tăng,6.4,21.9
2023-10-19,SAB,Hàng tiêu dùng,249500,249600.0,251100,248000,18.8,Đi ngang,6.4,22.2
2023-10-20,SAB,Hàng tiêu dùng,245500,246800.0,248100,244900,5.0,Tăng,6.4,22.2
2023-10-23,SAB,Hàng tiêu dùng,237000,235100.0,237300,234300,18.3,Giảm,6.4,21.6
2023-10-24,SAB,Hàng tiêu dùng,239100,241000.0,241500,237900,5.7,Tăng,6.4,22.2
2023-10-25,SAB,Hàng tiêu dùng,231000,232100.0,232900,229600,19.3,Tăng,6.4,21.7
2023-10-26,SAB,Hàng tiêu dùng,225400,227200.0,228400,224400,8.8,Tăng,6.4,21.5
2023-10-27,SAB,Hàng tiêu dùng,227900,226800.0,229300,226100,10.7,Giảm,6.4,21.6
2023-10-30,SAB,Hàng tiêu dùng,216400,216900.0,218200,215700,5.2,Đi ngang,6.3,21.0
2023-10-31,SAB,Hàng tiêu dùng,221800,222100.0,223100,221000,10.3,Đi ngang,6.3,21.6
2023-11-01,SAB,Hàng tiêu dùng,217900,218100.0,218700,216500,19.2,Đi ngang,6.4,21.1
2023-11-02,SAB,Hàng tiêu dùng,224300,225800.0,227100,223100,20.6,Tăng,6.4,21.5
2023-11-03,SAB,Hàng tiêu dùng,226400,228200.0,229600,225100,15.5,Tăng,6.4,21.6
2023-11-06,SAB,Hàng tiêu dùng,236500,235200.0,238000,233800,6.7,Giảm,6.4,21.8
2023-11-07,SAB,Hàng tiêu dùng,233500,233800.0,234800,232200,7.7,Đi ngang,6.3,21.4
2023-11-08,SAB,Hàng tiêu dùng,233300,231400.0,233900,229900,17.6,Giảm,6.3,21.0
2023-11-09,SAB,Hàng tiêu dùng,237300,238700.0,239800,236100,18.2,Tăng,6.3,21.5
2023-11-10,SAB,Hàng tiêu dùng,244000,245400.0,246500,243400,17.3,Tăng,6.2,22.0
2023-11-13,SAB,Hàng tiêu dùng,246700,248500.0,249300,246100,14.3,Tăng,6.2,21.9
2023-11-14,SAB,Hàng tiêu dùng,256200,255700.0,256500,255200,12.4,Giảm,6.2,22.3
2023-11-15,SAB,Hàng tiêu dùng,260700,261300.0,262100,259500,19.0,Đi ngang,6.2,22.5
2023-11-16,SAB,Hàng tiêu dùng,263700,262100.0,265100,260700,17.4,Giảm,6.2,22.3
2023-11-17,SAB,Hàng tiêu dùng,264200,265200.0,266400,262800,14.6,Đi ngang,6.2,22.2
2023-11-20,SAB,Hàng tiêu dùng,273500,272000.0,274500,271000,14.4,Giảm,6.2,22.7
2023-11-21,SAB,Hàng tiêu dùng,268000,267200.0,268600,266100,5.6,Giảm,6.2,22.0
2023-11-22,SAB,Hàng tiêu dùng,269200,270700.0,271700,268800,10.8,Tăng,6.2,
2023-11-23,SAB,Hàng tiêu dùng,272400,274300.0,275600,271700,7.7,Tăng,6.2,21.9
2023-11-24,SAB,Hàng tiêu dùng,266100,267600.0,269000,265200,15.8,Tăng,6.2,21.3
2023-11-27,SAB,Hàng tiêu dùng,269400,271300.0,271700,268800,19.5,Tăng,6.2,21.6
2023-11-28,SAB,Hàng tiêu dùng,268400,269600.0,270500,267100,17.3,Tăng,6.2,21.3
2023-11-29,SAB,Hàng tiêu dùng,266100,265500.0,267300,264100,8.8,Đi ngang,6.2,20.7
2023-11-30,SAB,Hàng tiêu dùng,265200,264200.0,265700,262700,10.9,Giảm,6.2,20.3
2023-12-01,SAB,Hàng tiêu dùng,259400,258400.0,260400,257400,7.6,Giảm,6.2,20.2
2023-12-04,SAB,Hàng tiêu dùng,255800,254800.0,256100,254300,19.1,Giảm,6.2,20.0
2023-12-05,SAB,Hàng tiêu dùng,245600,246400.0,247200,244800,9.7,Tăng,6.2,19.7
2023-12-06,SAB,Hàng tiêu dùng,239000,237600.0,239800,236800,7.3,Giảm,6.2,19.2
2023-12-07,SAB,Hàng tiêu dùng,241600,240300.0,242500,239900,22.4,Giảm,6.2,19.7
2023-12-08,SAB,Hàng tiêu dùng,244500,242500.0,244900,242200,8.2,Giảm,6.2,19.9
2023-12-11,SAB,Hàng tiêu dùng,244100,243700.0,244600,243000,18.3,Đi ngang,6.2,20.3
2023-12-12,SAB,Hàng tiêu dùng,235900,237100.0,237900,235300,21.7,Tăng,6.1,19.8
2023-12-13,SAB,Hàng tiêu dùng,237000,235000.0,238200,234000,17.9,Giảm,6.0,19.6
2023-12-14,SAB,Hàng tiêu dùng,232400,231500.0,233800,230900,16.7,Giảm,6.1,19.5
2023-12-15,SAB,Hàng tiêu dùng,232200,233500.0,234300,231000,8.0,Tăng,6.1,19.7
2023-12-18,SAB,Hàng tiêu dùng,226200,225200.0,227600,224100,4.7,Đi ngang,6.1,19.2
2023-12-19,SAB,Hàng tiêu dùng,218500,217800.0,219600,217500,20.9,Giảm,6.1,18.8
2023-12-20,SAB,Hàng tiêu dùng,217900,217900.0,218400,216900,15.7,Đi ngang,6.1,18.8
2023-12-21,SAB,Hàng tiêu dùng,213000,214400.0,215800,212600,15.8,Tăng,6.1,18.7
2023-12-22,SAB,Hàng tiêu dùng,202700,204000.0,204500,202300,9.8,Tăng,6.1,18.2
2023-12-25,SAB,Hàng tiêu dùng,203400,203700.0,204200,202500,5.9,Đi ngang,6.1,18.4
2023-12-26,SAB,Hàng tiêu dùng,207900,206200.0,209300,204700,7.4,Giảm,6.1,18.7
2023-12-27,SAB,Hàng tiêu dùng,204200,205700.0,207000,203800,15.6,Tăng,6.1,19.0
2023-12-28,SAB,Hàng tiêu dùng,200600,199300.0,201800,199000,23.2,Giảm,6.1,18.5
2023-12-29,SAB,Hàng tiêu dùng,200600,200700.0,201600,200000,19.3,Đi ngang,6.1,18.7
2023-01-02,MWG,Hàng tiêu dùng,54600,55700.0,56900,53100,12.0,Biến động mạnh,5.9,23.3
2023-01-03,MWG,Hàng tiêu dùng,54400,56400.0,56700,53000,8.0,Tăng,5.9,23.6
2023-01-04,MWG,Hàng tiêu dùng,54700,56400.0,57300,54300,7.8,Tăng,5.8,23.3
2023-01-05,MWG,Hàng tiêu dùng,59600,58700.0,60400,57700,,Giảm,5.8,23.9
2023-01-06,MWG,Hàng tiêu dùng,60800,59900.0,61100,58900,4.2,Giảm,5.8,24.3
2023-01-09,MWG,Hàng tiêu dùng,60600,60400.0,61600,59600,9.6,Đi ngang,5.8,24.2
2023-01-10,MWG,Hàng tiêu dùng,61300,63100.0,64100,59800,6.7,Tăng,5.8,24.9
2023-01-11,MWG,Hàng tiêu dùng,66100,64400.0,67300,63400,12.1,Giảm,5.8,25.0
2023-01-12,MWG,Hàng tiêu dùng,65500,65100.0,66000,63700,14.7,Đi ngang,5.8,24.8
2023-01-13,MWG,Hàng tiêu dùng,63500,64800.0,66000,62500,9.6,Tăng,5.8,24.5
2023-01-16,MWG,Hàng tiêu dùng,63300,64800.0,65800,62500,12.6,Tăng,5.8,24.0
2023-01-17,MWG,Hàng tiêu dùng,63800,65200.0,66000,63300,8.9,Tăng,5.8,23.8
2023-01-18,MWG,Hàng tiêu dùng,67700,66200.0,68200,65400,13.1,Giảm,5.9,23.8
2023-01-19,MWG,Hàng tiêu dùng,69600,68100.0,70900,67200,14.1,Giảm,5.9,24.1
2023-01-20,MWG,Hàng tiêu dùng,68700,69900.0,70400,67500,5.4,Tăng,5.9,24.4
2023-01-23,MWG,Hàng tiêu dùng,69300,69000.0,70200,67700,11.8,Đi ngang,5.9,23.7
2023-01-24,MWG,Hàng tiêu dùng,70400,68700.0,71300,68100,10.5,Giảm,5.9,23.6
2023-01-25,MWG,Hàng tiêu dùng,71900,71000.0,72600,70300,4.6,Giảm,5.9,24.2
2023-01-26,MWG,Hàng tiêu dùng,73900,73100.0,74700,71700,5.6,Đi ngang,5.9,24.7
2023-01-27,MWG,Hàng tiêu dùng,76400,75200.0,77900,74300,9.2,Giảm,5.9,25.3
2023-01-30,MWG,Hàng tiêu dùng,76300,74600.0,76900,73200,16.1,Giảm,5.8,24.9
2023-01-31,MWG,Hàng tiêu dùng,77200,76400.0,77700,75700,5.5,Giảm,5.8,25.1
2023-02-01,MWG,Hàng tiêu dùng,72800,73200.0,73600,71600,10.9,Đi ngang,5.8,24.4
2023-02-02,MWG,Hàng tiêu dùng,72800,73900.0,75300,71900,11.4,Tăng,5.8,24.8
2023-02-03,MWG,Hàng tiêu dùng,73800,74800.0,75800,73200,7.2,Tăng,5.8,25.4
2023-02-06,MWG,Hàng tiêu dùng,73400,73200.0,74600,71900,14.4,Đi ngang,5.8,25.0
2023-02-07,MWG,Hàng tiêu dùng,73300,72800.0,74200,72400,13.9,Đi ngang,5.8,25.0
2023-02-08,MWG,Hàng tiêu dùng,74400,72900.0,75600,71600,13.8,Giảm,5.8,25.4
2023-02-09,MWG,Hàng tiêu dùng,73000,73500.0,74900,72100,11.9,Đi ngang,5.9,25.6
2023-02-10,MWG,Hàng tiêu dùng,75600,73700.0,76500,73300,11.3,Giảm,5.9,26.1
2023-02-13,MWG,Hàng tiêu dùng,73900,74500.0,76000,72500,15.6,Đi ngang,5.9,26.6
2023-02-14,MWG,Hàng tiêu dùng,76300,74700.0,77400,74200,9.8,Giảm,5.9,27.2
2023-02-15,MWG,Hàng tiêu dùng,74800,74500.0,76300,73300,5.3,Đi ngang,5.9,27.4
2023-02-16,MWG,Hàng tiêu dùng,71600,73000.0,73800,70500,16.2,Tăng,5.9,26.9
2023-02-17,MWG,Hàng tiêu dùng,72600,74200.0,75500,71700,10.2,Tăng,5.9,27.7
2023-02-20,MWG,Hàng tiêu dùng,74400,72900.0,74700,72200,14.6,Giảm,5.9,27.6
2023-02-21,MWG,Hàng tiêu dùng,73900,72100.0,74400,70900,11.0,Giảm,5.9,27.4
2023-02-22,MWG,Hàng tiêu dùng,69500,71400.0,71900,69000,13.5,Tăng,5.9,27.5
2023-02-23,MWG,Hàng tiêu dùng,70700,70500.0,71900,70000,9.8,Đi ngang,5.9,27.7
2023-02-24,MWG,Hàng tiêu dùng,70100,68800.0,71600,68100,10.9,Giảm,5.9,27.4
2023-02-27,MWG,Hàng tiêu dùng,67800,67200.0,68100,66500,6.2,Giảm,5.8,26.8
2023-02-28,MWG,Hàng tiêu dùng,65800,65500.0,66800,64800,13.0,Đi ngang,5.7,26.2
2023-03-01,MWG,Hàng tiêu dùng,65100,65400.0,66100,63900,11.8,Đi ngang,5.7,25.6
2023-03-02,MWG,Hàng tiêu dùng,65400,66800.0,68100,64600,10.2,Tăng,5.7,25.7
